V1,V2,V3
-94.404375,26.977044951548,-1192
-94.35375,26.977044951548,-1324
-94.303125,26.977044951548,-1637
-94.2525,26.977044951548,-1536
-94.201875,26.977044951548,-1630
-94.15125,26.977044951548,-1746
-94.100625,26.977044951548,-1318
-94.05,26.977044951548,-1159
-93.999375,26.977044951548,-1256
-93.94875,26.977044951548,-1151
-93.898125,26.977044951548,-1220
-93.8475,26.977044951548,-1253
-93.796875,26.977044951548,-1201
-93.74625,26.977044951548,-1222
-93.695625,26.977044951548,-1203
-93.645,26.977044951548,-1244
-93.594375,26.977044951548,-1350
-93.54375,26.977044951548,-1337
-93.493125,26.977044951548,-1286
-93.4425,26.977044951548,-1212
-93.391875,26.977044951548,-1242
-93.34125,26.977044951548,-1290
-93.290625,26.977044951548,-1235
-93.24,26.977044951548,-1271
-93.189375,26.977044951548,-1252
-93.13875,26.977044951548,-1262
-93.088125,26.977044951548,-1404
-93.0375,26.977044951548,-1427
-92.986875,26.977044951548,-1252
-92.93625,26.977044951548,-1258
-92.885625,26.977044951548,-1518
-92.835,26.977044951548,-1571
-92.784375,26.977044951548,-1453
-92.73375,26.977044951548,-1345
-92.683125,26.977044951548,-1421
-92.6325,26.977044951548,-1469
-92.581875,26.977044951548,-1492
-92.53125,26.977044951548,-1495
-92.480625,26.977044951548,-1421
-92.43,26.977044951548,-1546
-92.379375,26.977044951548,-1766
-92.32875,26.977044951548,-1984
-92.278125,26.977044951548,-1859
-92.2275,26.977044951548,-1373
-92.176875,26.977044951548,-1413
-92.12625,26.977044951548,-1988
-92.075625,26.977044951548,-2071
-92.025,26.977044951548,-2059
-91.974375,26.977044951548,-1645
-91.92375,26.977044951548,-1796
-91.873125,26.977044951548,-1862
-91.8225,26.977044951548,-1640
-91.771875,26.977044951548,-1593
-91.72125,26.977044951548,-1699
-91.670625,26.977044951548,-1791
-91.62,26.977044951548,-1850
-91.569375,26.977044951548,-1799
-91.51875,26.977044951548,-1869
-91.468125,26.977044951548,-1795
-91.4175,26.977044951548,-2001
-91.366875,26.977044951548,-2073
-91.31625,26.977044951548,-2268
-91.265625,26.977044951548,-2325
-91.215,26.977044951548,-2081
-91.164375,26.977044951548,-2065
-91.11375,26.977044951548,-1767
-91.063125,26.977044951548,-1784
-91.0125,26.977044951548,-1940
-90.961875,26.977044951548,-1716
-90.91125,26.977044951548,-1780
-90.860625,26.977044951548,-1952
-90.81,26.977044951548,-1684
-90.759375,26.977044951548,-1654
-90.70875,26.977044951548,-1645
-90.658125,26.977044951548,-1639
-90.6075,26.977044951548,-1600
-90.556875,26.977044951548,-1614
-90.50625,26.977044951548,-1578
-90.455625,26.977044951548,-1640
-90.405,26.977044951548,-2229
-90.354375,26.977044951548,-2335
-90.30375,26.977044951548,-2324
-90.253125,26.977044951548,-2116
-90.2025,26.977044951548,-2408
-90.151875,26.977044951548,-2417
-90.10125,26.977044951548,-2457
-90.050625,26.977044951548,-2480
-90,26.977044951548,-2484
-98.1,26.926450152096,25
-98.049375,26.926450152096,20
-97.99875,26.926450152096,15
-97.948125,26.926450152096,11
-97.8975,26.926450152096,9
-97.846875,26.926450152096,9
-97.79625,26.926450152096,10
-97.745625,26.926450152096,10
-97.695,26.926450152096,10
-97.644375,26.926450152096,9
-97.59375,26.926450152096,3
-97.543125,26.926450152096,0
-97.4925,26.926450152096,0
-97.441875,26.926450152096,0
-97.39125,26.926450152096,-7
-97.340625,26.926450152096,-15
-97.29,26.926450152096,-22
-97.239375,26.926450152096,-25
-97.18875,26.926450152096,-30
-97.138125,26.926450152096,-32
-97.0875,26.926450152096,-36
-97.036875,26.926450152096,-39
-96.98625,26.926450152096,-46
-96.935625,26.926450152096,-50
-96.885,26.926450152096,-58
-96.834375,26.926450152096,-64
-96.78375,26.926450152096,-75
-96.733125,26.926450152096,-80
-96.6825,26.926450152096,-90
-96.631875,26.926450152096,-96
-96.58125,26.926450152096,-113
-96.530625,26.926450152096,-131
-96.48,26.926450152096,-194
-96.429375,26.926450152096,-247
-96.37875,26.926450152096,-405
-96.328125,26.926450152096,-462
-96.2775,26.926450152096,-548
-96.226875,26.926450152096,-596
-96.17625,26.926450152096,-659
-96.125625,26.926450152096,-690
-96.075,26.926450152096,-809
-96.024375,26.926450152096,-882
-95.97375,26.926450152096,-880
-95.923125,26.926450152096,-847
-95.8725,26.926450152096,-901
-95.821875,26.926450152096,-961
-95.77125,26.926450152096,-1019
-95.720625,26.926450152096,-961
-95.67,26.926450152096,-983
-95.619375,26.926450152096,-1058
-95.56875,26.926450152096,-1367
-95.518125,26.926450152096,-1409
-95.4675,26.926450152096,-1433
-95.416875,26.926450152096,-1453
